#,Nome,Nicho,Nota,Avaliações,E-mail,Telefone,WhatsApp,Instagram,Domínio sugerido,Site atual,GMN (Google Meu Negócio),gmnCid,Motivo,Situação,Status,URL nova
1,Pablo Mecânica,oficina mecânica,5.0,92,,(31) 98728-8604,5531987288604,,pablomecanica.com.br,,https://www.google.com/maps?cid=6654213577747243358,6654213577747243358,Não tem site próprio,Qualificado,novo,
2,Auto Shopping Del Rey GNV,oficina mecânica,5.0,35,,(31) 3658-6596,,,autoshoppingdelrey.com.br,,https://www.google.com/maps?cid=15551172145372405711,15551172145372405711,Não tem site próprio,Qualificado,novo,
3,SG CAR Mecânica Automotiva,oficinas,5.0,29,,(31) 99937-6944,5531999376944,https://instagram.com/sgmecanica.automotivo,sgcarmecanica.com.br,sem site,https://www.google.com/maps?cid=6124346077946217681,6124346077946217681,"Nota máxima 5,0/29; sem site.",Qualificado,novo,
4,Diniz Estética Automotiva,oficinas,4.9,109,,(31) 98843-3582,5531988433582,https://instagram.com/diniz_esteticautomotiva,dinizesteticaautomotiva.com.br,sem site próprio (só link WhatsApp),https://www.google.com/maps?cid=18296762397603562625,18296762397603562625,"4,9/109 (estética premium); só link de WhatsApp, sem site próprio.",Qualificado,novo,
5,Centro Automotivo DVC,funilaria e pintura,4.9,82,,(31) 99662-0277,5531996620277,@centroautomotivo.dvc,centroautomotivodvc.com.br,,https://www.google.com/maps?cid=6017471911692367415,6017471911692367415,Não tem site próprio,Qualificado,novo,
6,Vieiracar,oficina mecânica,4.9,68,,(31) 3456-1721,,,vieiracar.com.br,,https://www.google.com/maps?cid=9093905344352629610,9093905344352629610,Não tem site próprio,Qualificado,novo,
7,Auto Mecânica Dois Irmãos,oficina mecânica,4.8,68,,(31) 3458-4901,,,automecanicadoisirmaos.com.br,,https://www.google.com/maps?cid=8544717057092829388,8544717057092829388,Não tem site próprio,Qualificado,novo,
8,Oficina do Espanhol,oficinas,4.8,35,,(31) 99508-7800,5531995087800,,oficinadoespanhol.com.br,sem site,https://www.google.com/maps?cid=10632964429452933273,10632964429452933273,"4,8/35 e ótima reputação; sem nenhum site nem Instagram localizado.",Qualificado,novo,
9,Jhowcar Service,oficinas,4.8,31,,(31) 3459-8653,,https://instagram.com/jhowcarservice,jhowcarservice.com.br,sem site,https://www.google.com/maps?cid=17334051416359678933,17334051416359678933,"4,8/31 na Av. Vilarinho (alto fluxo); sem site.",Qualificado,novo,
10,Geraldinho Centro Automotivo,oficina mecânica,4.8,28,,(31) 98512-0597,5531985120597,,geraldinhocentroautomotivo.com.br,,https://www.google.com/maps?cid=15827186803929832578,15827186803929832578,Não tem site próprio,Qualificado,novo,
11,Auto Elétrica Serra Verde,auto elétrica,4.7,64,,(31) 3455-5047,,,autoeletricaserraverde.com.br,,https://www.google.com/maps?cid=2528427629726078695,2528427629726078695,Não tem site próprio,Qualificado,novo,
12,Vila Car Auto Center,oficinas,4.7,29,,(31) 3453-8917,,https://instagram.com/villaautocenteroficial,vilacarautocenter.com.br,sem site,https://www.google.com/maps?cid=17502816464542949933,17502816464542949933,"4,7/29 na Av. Vilarinho; sem site.",Qualificado,novo,
13,Auto Elétrica Céu Azul,auto elétrica,4.6,113,,(31) 3456-2366,,,autoeletricaceuazul.com.br,,https://www.google.com/maps?cid=646785913798052116,646785913798052116,Não tem site próprio,Qualificado,novo,
14,Spaço do Carro Centro Automotivo,oficinas,4.6,38,,(31) 98454-9280,5531984549280,https://instagram.com/spacodocarroc.automotivo,spacodocarro.com.br,sem site,https://www.google.com/maps?cid=8582281348205835955,8582281348205835955,"4,6/38; sem site próprio.",Qualificado,novo,
15,André Car Alinhamento e Balanceamento,oficinas,4.5,67,,(31) 3455-6947,,https://instagram.com/andrecarcentroautomotivo,andrecar.com.br,sem site próprio (só encurtador rebrand.ly),https://www.google.com/maps?cid=8846912183531172732,8846912183531172732,"Centro automotivo estabelecido (67 aval); só link encurtado, sem site próprio.",Qualificado,novo,
16,Racing Rebels - Oficina Mecânica e Preparações,oficinas,4.5,57,,(31) 98044-9294,5531980449294,https://instagram.com/racingrebels,racingrebels.com.br,sem site próprio (só Instagram),https://www.google.com/maps?cid=12193589902280597903,12193589902280597903,Preparações/performance com 57 aval; usa só Instagram.,Qualificado,novo,
17,Samuka Car,suspensão e mecânica,4.3,29,,(31) 99994-0860,5531999940860,@samuka.car,samukacar.com.br,,https://www.google.com/maps?cid=11048619070744583148,11048619070744583148,Não tem site próprio,Qualificado,novo,
18,Auto Mecânica e Elétrica Forte,oficina mecânica e elétrica,4.2,20,,(31) 98989-5705,5531989895705,,autoeletricaforte.com.br,,https://www.google.com/maps?cid=10305338880043056042,10305338880043056042,Não tem site próprio,Qualificado,novo,
19,Centro Automotivo 3 Irmãos,oficinas,4.1,27,,(31) 98832-4974,5531988324974,https://instagram.com/centroautomotivo3irmaos,centroautomotivo3irmaos.com.br,sem site,https://www.google.com/maps?cid=10900363531876671505,10900363531876671505,"4,1/27; sem site próprio.",Qualificado,novo,
20,Rogério Auto Center,oficinas,4.0,246,,(31) 3454-4059,,https://instagram.com/rogerio.autocenter,rogerioautocenter.com.br,sem site próprio (só Instagram),https://www.google.com/maps?cid=10878970377185206777,10878970377185206777,Nota consistente com 246 avaliações; usa só Instagram como presença — oportunidade de site próprio premium.,Qualificado,novo,
21,JC CAR Auto mecânica,oficina mecânica,5.0,27,,(31) 99349-0972,5531993490972,@jccar_oficial,jccarmecanica.com.br,,,,Não tem site próprio,Qualificado,publicado,https://kairostecnologia.com/clientes/jc-car-auto-mecanica/
22,Auto Grau Troca de Óleo,troca de óleo,4.9,74,,(31) 3213-1208,31 9102-2231,,autograu.com.br,,https://www.google.com/maps?cid=11687216144521185234,11687216144521185234,Não tem site próprio (só bit.ly),Qualificado,publicado,https://kairostecnologia.com/clientes/auto-grau-troca-de-oleo/
23,RCA Centro Automotivo,estética automotiva,4.9,69,,(31) 98457-2445,5531984572445,@rcacentroautomotivo,rcacentroautomotivo.com.br,,https://www.google.com/maps?cid=17295190726115513632,17295190726115513632,Não tem site próprio,Qualificado,publicado,https://kairostecnologia.com/clientes/rca-centro-automotivo/
24,Auto Power Tech,oficina mecânica,4.9,56,,(31) 3665-3150,,@power.techbh,autopowertech.com.br,,https://www.google.com/maps?cid=1496545289249941551,1496545289249941551,Não tem site próprio (só Instagram),Qualificado,publicado,https://kairostecnologia.com/clientes/auto-power-tech/
25,Canaã Auto Center,oficina mecânica,4.9,46,,(31) 3226-7456,,@canaaautocenter.bh,canaacenter.com.br,,https://www.google.com/maps?cid=11024621283518688478,11024621283518688478,Não tem site próprio,Qualificado,publicado,https://kairostecnologia.com/clientes/canaa-auto-center/
26,Auto Revisão Edcar,oficina mecânica,4.9,42,,(31) 98573-6834,5531985736834,,autorevisaoedcar.com.br,,https://www.google.com/maps?cid=14907924989167385830,14907924989167385830,Não tem site próprio,Qualificado,publicado,https://kairostecnologia.com/clientes/auto-revisao-edcar/
27,Porão Centro Automotivo,pintura automotiva,4.8,121,,(31) 3221-5068,,,poraocentroautomotivo.com.br,,https://www.google.com/maps?cid=314177213805981648,314177213805981648,Não tem site próprio,Qualificado,publicado,https://kairostecnologia.com/clientes/porao-centro-automotivo/
28,Alfa Car,oficina mecânica,4.8,96,,(31) 3451-3645,(31)972582812,,alfacar.com.br,,https://www.google.com/maps?cid=562707050947445263,562707050947445263,Não tem site próprio (só whats.link/WhatsApp),Qualificado,publicado,https://kairostecnologia.com/clientes/alfa-car/
29,Centro Automotivo Dias,oficina mecânica,4.8,39,,(31) 99539-6899,5531995396899,,centroautomotivodias.com.br,,https://www.google.com/maps?cid=6007076108323123226,6007076108323123226,Não tem site próprio,Qualificado,publicado,https://kairostecnologia.com/clientes/centro-automotivo-dias/
30,Auto Mecânica Chapéu,oficina mecânica,4.6,28,,(31) 98551-3484,5531985513484,,automecanicachapeu.com.br,,https://www.google.com/maps?cid=14765148685635200474,14765148685635200474,Não tem site próprio,Qualificado,publicado,https://kairostecnologia.com/clientes/auto-mecanica-chapeu/
31,Magrão Car Service,oficinas,5.0,38,,(31) 99808-0562,5531998080562,@magraocarservice,,https://instagram.com/o_magraoo,,,"OPORTUNIDADE (site novo): nota 5.0, só tem Instagram — precisa de site próprio.",Qualificado,proposta,https://kairostecnologia.com/clientes/magrao-car-service/
32,Centro Automotivo Juninho,oficinas,4.9,173,,(31) 3264-1753,553132641753,,,,,,OPORTUNIDADE (site novo): ótima reputação (4.9/173) e SEM site — prospect ideal para site do zero.,Qualificado,proposta,https://kairostecnologia.com/clientes/centro-automotivo-juninho/
33,Marra Centro Automotivo,oficinas,4.8,41,,(31) 98227-9780,5531982279780,,,,,,"OPORTUNIDADE (site novo): 4.8/41, sem site próprio.",Qualificado,proposta,https://kairostecnologia.com/clientes/marra-centro-automotivo/
34,Oficina Mecânica CJ CAR,oficinas,4.8,23,,(31) 98692-1283,5531986921283,,,,https://www.google.com/maps?cid=1778110103655439033,1778110103655439033,"OPORTUNIDADE (site novo): 4.8/23, sem site próprio.",Qualificado,proposta,https://kairostecnologia.com/clientes/oficina-mecanica-cj-car/
