Nome,Nicho,Nota,Aval,Telefone,WhatsApp,gmnCid,Dominio sugerido,Endereço/obs
Auto Shopping Del Rey GNV,oficina mecânica,5.0,35,(31) 3658-6596,,15551172145372405711,autoshoppingdelrey.com.br,Av. Leontino Francisco Alves 905 - Serra Verde; GNV; sem site
Auto Elétrica Serra Verde,auto elétrica,4.7,64,(31) 3455-5047,,2528427629726078695,autoeletricaserraverde.com.br,Av. Neném Lara Rocha 102 - Serra Verde; sem site
Pablo Mecânica,oficina mecânica,5.0,92,(31) 98728-8604,5531987288604,6654213577747243358,pablomecanica.com.br,R. Antônio José dos Santos 900 - Céu Azul; sem site
Vieiracar,oficina mecânica,4.9,68,(31) 3456-1721,,9093905344352629610,vieiracar.com.br,R. Horácio Dolabela Vaz 151 - Céu Azul; sem site
Auto Mecânica Dois Irmãos,oficina mecânica,4.8,68,(31) 3458-4901,,8544717057092829388,automecanicadoisirmaos.com.br,R. José Félix Martins 763 - Mantiqueira; sem site
Auto Mecânica e Elétrica Forte,oficina mecânica e elétrica,4.2,20,(31) 98989-5705,5531989895705,10305338880043056042,autoeletricaforte.com.br,R. Luzia Salomão 161A - Mantiqueira; sem site
Auto Elétrica Céu Azul,auto elétrica,4.6,113,(31) 3456-2366,,646785913798052116,autoeletricaceuazul.com.br,R. Maria Gertrudes Santos 510 - Céu Azul; Sr. Carlinhos; sem site
Samuka Car,oficina mecânica,4.3,29,(31) 99994-0860,5531999940860,11048619070744583148,samukacar.com.br,R. Padre Pedro Pinto 4906 - Mantiqueira; sem site
Geraldinho Centro Automotivo,oficina mecânica,4.8,28,(31) 98512-0597,5531985120597,15827186803929832578,geraldinhocentroautomotivo.com.br,R. Radialista José Farrapo 94 - Céu Azul; sem site
Centro Automotivo DVC,funilaria e pintura,4.9,82,(31) 99662-0277,5531996620277,6017471911692367415,centroautomotivodvc.com.br,Rua Izalina Faustina Silveira 45 - Mantiqueira; lanternagem e pintura; sem site
