Nome,Nota,Aval,Telefone,WhatsApp,Instagram,gmnCid,Dominio,Obs/Endereco
Alfa Car,4.8,96,(31) 3451-3645,,a resolver,562707050947445263,alfacar.com.br,R. Severino Lara 398 - Venda Nova; dono Sr. Romeu
Auto Grau Troca de Óleo,4.9,74,(31) 3213-1208,,a resolver,11687216144521185234,autograu.com.br,R. Pedra do Indaiá 24 - Candelária; dono Anderson
Auto Mecânica Chapéu,4.6,28,(31) 98551-3484,5531985513484,a resolver,14765148685635200474,automecanicachapeu.com.br,R. José do Carmo Oliveira 50 - Minas Caixa; oficina de família; listagem não reivindicada
Auto Power Tech,4.9,56,(31) 3665-3150,,a resolver,1496545289249941551,autopowertech.com.br,Rua Dr. Álvaro Camargos 2161 - Santa Mônica; dono Reinaldo (Grupo Power); Instagram no Maps a resolver
Auto Revisão Edcar,4.9,42,(31) 98573-6834,5531985736834,a resolver,14907924989167385830,autorevisaoedcar.com.br,R. José do Carmo Oliveira 365 - Minas Caixa; mecânico Edmar; listagem não reivindicada
Canaã Auto Center,4.9,46,(31) 3226-7456,,a resolver,11024621283518688478,canaacenter.com.br,R. Padre Pedro Pinto 3580c - Venda Nova; mecânicos Valdir e Gustavo
Centro Automotivo Dias,4.8,39,(31) 99539-6899,5531995396899,a resolver,6007076108323123226,centroautomotivodias.com.br,Av. Brg. Eduardo Gomes 871 - GLORIA (fora de Venda Nova); Renan/Bruno; IG possível @diascentroautomotivo (verificar)
JC CAR Auto mecânica,5.0,27,(31) 99349-0972,5531993490972,@jccar_oficial,a resolver,jccarmecanica.com.br,R. Sandra Barros Amorim 176 - Venda Nova
Porão Centro Automotivo,4.8,121,(31) 3221-5068,,a resolver,314177213805981648,poraocentroautomotivo.com.br,R. Luiza Vieira 200 - Venda Nova; funilaria e pintura
RCA Centro Automotivo,4.9,69,(31) 98457-2445,5531984572445,@rcacentroautomotivo,17295190726115513632,rcacentroautomotivo.com.br,R. Padre Pedro Pinto 2420 - Candelária
